Author,Affiliation
Sriram Sankararaman,UCLA
Ameet Talwalkar,CMU and Determined AI
Steve James,Lawrence Livermore National Laboratory
Benjamin Rosman,"Associate Professor at the University of the Witwatersrand, South Africa"
George Konidaris,Brown
Yi Su,"Professor of radiation oncology, University of Michigan"
Akshay Krishnamurthy,University of Massachusetts Amherst
Q. Wang,Xi'an Jiaotong University
Herke van Hoof,University of Amsterdam (UVA)
Ligang Liu,University of Science and Technology of China
Edith Cohen,"Profesor of School of Medical Sciences, Edith Cowan University"
Rasmus Pagh,"Professor of computer science, IT University of Copenhagen"
Mathias Staudigl,"Associate Professor of Operations Research, Maastricht University"
Shimrit Shtern,"Assistant Professor at IE&M Faculty, Technion, Israel"
Kamil Safin,Antiplagiat JSC
Petr Ostroukhov,Moscow Institute of Physics and Technology
Claire Vernade,DeepMind
András György,DeepMind
Michal Lukasik,Google
Srinadh Bhojanapalli,"Research Scientist, Google Research"
Sanjiv Kumar,"Associate Professor, ECE, ACET, Amritsar"
Eran Malach,"School of Computer Science, Hebrew University"
Gilad Yehudai,"Graduade student, Weizmann institute of science"
Alexandra Carpentier,OvGU Magdeburg
Tor Lattimore,DeepMind
Giovanni Zappella,Amazon
Beyza Ermis,Amazon Research
Michael Brueckner,"Sr. Machine Learning Scientist, Amazon"
Ioana Bica,"PhD Student, University of Oxford, The Alan Turing Institute"
John Chen,The University of Hong Kong
Vatsal Shah,Rutgers University
Bülent Yener,"Professor of Computer Science,  Director of Data Science Research Center RPI"
Badih Ghazi,MIT
Ravi Kumar,Google
Pasin Manurangsi,Google Research
Samuel Smith,University of Leeds
Soham De,DeepMind
Feihu Huang,"Postdoctoral Researcher, University of Pittsburgh"
Shangqian Gao,University of Pittsburgh
Jian Pei,"Professor of Computing Science, Simon Fraser University"
Vu Nguyen,Ton Duc Thang University
Michael A Osborne,"Professor of Machine Learning, University of Oxford"
Viet Anh Nguyen,"Institute of physics, VAST, Hanoi, Viet Nam"
Nian Si,Postdoctoral fellow
Jose Blanchet,Stanford University
Hanfang Yang,"Assistant professor of statistics, School of Statistics, Renmin university of China"
Milica Todorović,Aalto University
Jari Järvi,"Doctoral student, Aalto University"
Patrick Rinke,"Professor at Aalto University, Helsinki"
Alexia Jolicoeur-Martineau,Mila
Noah Simon,"Department of Biostatistics, University of Washington"
Ramin Hasani,TU Wien
Mathias Lechner,Ludwigs-Maximilians Universität München
Alexander Amini,"Computer Science, Massachusetts Institute of Technology"
Radu Grosu,Professor of Computer Science
Aditya Krishnan,"Research Scientist, Google"
Alberto Maria Metelli,Politecnico di Milano
Lorenzo Bisi,"PhD student, Politecnico di Milano"
Marcello Restelli,Politecnico di Milano
Julien Hendrickx,"professor of mathematical engineering, ICTEAM, EPL, Université catholique de Louvain"
Alex Olshevsky,"Associate Professor, Boston University"
Venkatesh Saligrama,"Professor, Electrical and Computer Engineering, Boston University"
Edouard Oyallon,"CNRS, LIP6"
Martin Jørgensen,"Professor of Clinical Psychiatry, University of Copenhagen"
Hugh Salimbeni,Imperial College London
Zeyu Zheng,"PhD student, UCSB"
Junhyuk Oh,"Research Scientist, DeepMind"
Zhongwen Xu,DeepMind
Hado van Hasselt,"Research Scientist, Google DeepMind"
David Silver,Google DeepMind
Satinder Singh,"Computer Science and Engineering, University of Michigan"
Olivier Fercoq,Telecom Paris
Weidong Liu,Institute of geographical science and natural resources research
Raymond K. W. Wong,Texas A&M University
Louis Faury,"Criteo, Télécom ParisTech"
Martin Wistuba,IBM Research
Tejaswini Pedapati,IBM Research
Sebastian Claici,"PhD Student, Massachusetts Institute of Technology"
Mikhail Yurochkin,"Research Staff Member, IBM Research AI"
Soumya Ghosh,"Indian Institute of Technology Kharagpur, India"
Justin Solomon,MIT
Rafael Pinot,Profesor de Enfermería Familiar y Comunitaria (Uja)
Raphael Ettedgui,Université Paris-Dauphine
Geovani Rizk,Université Paris Dauphine
Yann Chevaleyre,"Professor of Computer Science, Université Paris Dauphine"
Jamal Atif,"Pakistan Agricultural Research Council, Islamabad"
Chao Li,"McGill Univ, Tulane Univ, Stanford Univ"
Zhun Sun,Sun Yat-Sen University
Runchao Ma,University of Iowa
Daniyar Chumbalov,"PhD Student, EPFL"
Lucas Maystre,"Research Scientist, Spotify"
Pengxiang Wu,"PhD Candidate, Rutgers University"
Mayank Goswami,"Assistant Professor, Queens College, City University of New York"
Dimitris Metaxas,"Distinguished Professor  of Computer Science, Rutgers University"
Zhen-Yu Zhang,"Nanjing University, PhD Student"
Peng Zhao,Nanjing University of Aeronautics and Astronautics
Yuan Jiang,Professor of Hunan University (湖南大学，教授)
Khiem Pham,"Computer Science, San Jose State University"
Khang Le,"LIP, ENS de Lyon"
Nhat Ho,"University of California, Berkeley"
Tung Pham,University of Pittsburgh Medical Center
Hung Bui,"Research Scientist, Google DeepMind"
Jingwei Zhuo,Alibaba
Wei Dai,New York University
Han Zhu,University of Houston
HAN LI,"AI Lab, Bytedance Technology"
Jian Xu,"Director & IEEE Fellow, The Chinese University of Hong Kong (CUHK)/SIAT-CAS"
Kun Gai,"Senior Director & Researcher, Alibaba Group"
Ramya Korlakai Vinayak,"Postdoc, Paul G. Allen School of Computer Science, University of Washington"
Kevin Jamieson,"Assistant Professor, University of Washington"
Jongseok Lee,한국과학기술정보연구원 KISTI 책임연구원
Jianxiang Feng,Emory University
Rudolph Triebel,DLR and Technical University Munich
Paul Rolland,EPFL
Ali Kavis,"Doctoral Assistant, LIONS, EPFL"
Gregory Farquhar,University of Oxford
Laura  Gustafson,Facebook AI Research
Zeming Lin,New York University
Gabriel Synnaeve,Research scientist at Facebook AI Research
Vien Mai,"Giảng viên Vật lý, Đại học Sư phạm Hà Nội"
Mikael Johansson,"Professor of Electrical Engineering, KTH"
John Sipple,Cornell University
Elan Rosenfeld,"PhD Student, Carnegie Mellon University"
Zico Kolter,Carnegie Mellon University
Adam  Stooke,"PhD student, University of California, Berkeley"
Joshua Achiam,"PhD Student, UC Berkeley; Research Scientist, OpenAI."
Pieter Abbeel,UC Berkeley | Covariant.AI
Dara Bahri,Google Research
Heinrich Jiang,"Research Scientist, Google Research"
Batiste Le Bars,"PhD Candidate, Ecole Normale Supérieur Paris-Saclay"
Pierre Humbert,"Prof. of Language Modelling, Univ. of Oxford Dept. of Engineering Science"
Argyris Kalogeratos,"Researcher at CMLA, ENS Paris-Saclay (France)"
Nicolas Vayatis,"professeur des universités, ENS Paris-Saclay"
Emilio Parisotto,Carnegie Mellon University
Francis Song,武汉大学/香港大学
Jack Rae,Phd Student at UCL & Researcher at DeepMind
Razvan Pascanu,Research Scientist at Google DeepMind
Caglar Gulcehre,Research Scientist at Deepmind and PhD from MILA
Siddhant Jayakumar,DeepMind
Max Jaderberg,DeepMind
Aidan Clark,DeepMind
Seb Noury,"University of Paris-Sud, Orsay"
Matthew Botvinick,"Director of Neuroscience Research, Team Lead in AI Research, DeepMind"
Nicolas Heess,DeepMind
Raia Hadsell,Google DeepMind
Kyriacos Nikiforou,DeepMind
Antonia Creswell,"PhD Student, Imperial College London"
Christos Kaplanis,Imperial College London
David GT Barrett,DeepMind and University of Cambridge.
Marta Garnelo,"Research Scientist at DeepMind, PhD student at Imperial College London"
Meyer Scetbon,"Phd Student, CREST, ENSAE"
Zaid Harchaoui,University of Washington
Cheng Zheng,"Professor of Physics, Stanford University"
Bo Zong,University of Connecticut
Wei Cheng,ATLAS
Dongjin Song,"Professor of Computer Science, National University of Singapore and Griffith University"
Jingchao Ni,Pennsylvania State University
Wenchao Yu,University of California Los Angeles
Haifeng Chen,"NEC Laboratories America, Inc."
Wei Wang,"University of California, Riverside"
Sen Na,Hospital-University of verona
Yuwei Luo,University of Chicago
Mladen Kolar,"The University of Chicago, Booth School of  Business"
Omri Azencot,"Assistant Adjunct Professor, UCLA"
N. Benjamin Erichson,"Postdoc, University of California, Berkeley"
Vanessa Lin,"Undergraduate Researcher at University of California, Berkeley"
Michael Mahoney,"David Mahoney Professor of Neuroscience and Neurology, Columbia University"
Kunal Menda,"Graduate Student, Stanford University"
Jayesh Gupta,"Ph.D. Student, Department of Computer Science, Stanford University"
Ilan Kroo,"Professor of Aeronautics and Astronautics, Stanford University"
Mykel Kochenderfer,"Associate Professor, Stanford University"
Zachary Manchester,Stanford University
Anna Choromanska,New York University
Siqiang Luo,Harvard University
Hongteng Xu,"Postdoctoral Researcher of ECE, Duke University"
Dixin Luo,"Postdoc, Duke University"
Ricardo Henao,Duke University
Dongruo Zhou,UCLA
Lihong Li,"Institute of Physics, Chinese Academy of Sciences"
Pierre Ablin,University of Illinois at Urbana-Champaign
Gabriel Peyré,"CNRS, DMA, Ecole Normale Supérieure"
Thomas Moreau,"Head of Research, Bit Bio Ltd"
Sheng Shen,Panasonic R&D Center Singapore
Zhewei Yao,"Ph.D. Student, University of California, Berkeley"
Kurt Keutzer,"Professor of the Graduate School, EECS, University of California, Berkeley"
Muhammad Asim,Case Western Reserve University
Max Daniels,"Department of Comparative Cultural Psychology, Max Planck Institute for Evolutionary …"
Oscar Leong,Rice University
Paul Hand,"Assistant Professor of Mathematics and Computer Science, Northeastern University"
Ali Ahmed,"Helwan University, Cairo, Egypt. Also at Zewail City of Science and Technology"
Zhize Li,"Postdoctoral Fellow, KAUST"
Xun Qian,Michigan State University
Mert Pilanci,Stanford University
Tolga Ergen,Stanford University
Yan Leng,Oakland University
Xiaowen Dong,"University of Oxford, Massachusetts Institute of Technology"
Junfeng Wu,nan
Sofien Dhouib,PhD student
Ievgen Redko,"Associate professor, Hubert Curien laboratory CNRS UMR 5516, University of Jean Monnet …"
Carole Lartizien,"laboratoire CREATIS, CNRS, INSA, Université de Lyon"
Jia Liu,Nanjing University
Ness Shroff,"Department of ECE and CSE, The Ohio State University"
Rakshit Trivedi,Georgia Institute of Technology
Jiachen Yang,"PhD Student, Osaka University"
Hongyuan Zha,"College of Computing, Georgia Institute of Technology"
Fan Zhang,"MIT, IBM Watson"
Zhengyuan Zhou,"Dept. of Clinical Development, Pfizer (China) Inc."
Kensen Shi,Google
David Bieber,Google
Charles Sutton,"Google, University of Edinburgh"
Eric Liang,UC Berkeley
Zongheng Yang,UC Berkeley
Ion Stoica,"Professor of Computer Science, UC Berkeley"
Yan Duan,"Embodied Intelligence, UC Berkeley"
Peter Chen,Hong Kong University of Science and Technology Business School
John Bronskill,University of Cambridge
Jonathan Gordon,"Assistant Professor, Department of Biochemistry, University of Vermont"
James Requeima,"University of Cambridge, Invenia"
Sebastian Nowozin,"Microsoft Research (Cambridge, UK)"
Richard E Turner,"University Reader, University of Cambridge"
Philipp Rostalski,Universität zu Lübeck
Simiao Zuo,Georgia Institute of Technology
Haoming Jiang,Georgia Institute of Technology
Zichong Li,"University of California, San Francisco"
Tuo Zhao,"Assistant Professor, Georgia Tech"
Zhiqing Sun,Sun Yat-sen University
Yiming Yang,"Professor of Computer Science, Carnegie Mellon University"
Jianyi Zhang,University of Louisiana at Lafayette
Yang Zhao,The Pennsylvania State University
Changyou Chen,Assistant Professor at University at Buffalo
Pengyu Cheng,Auburn University
Shuyang Dai,Wuhan University
William Wilkinson,Cardiff University
Paul Chang,"Professor/Director, Climate Change Institute, University of Maine"
Michael Andersen,UT MD Anderson Cancer Center
Arno Solin,"Assistant Professor in Machine Learning, Aalto University"
Leonard Berrada,"Research Scientist, DeepMind"
M. Pawan Kumar,University of Oxford; DeepMind
Andrew Zisserman,University of Oxford
Taylor Webb,"Associate Professor, Educational Studies, University of British Columbia"
Zachary Dulberg,Princeton Neuroscience Institute
Steven Frankland,Princeton University
Alexander Petrov,Fellow of the Bulgarian Academy of Sciences
Randall O'Reilly,"Professor of Psychology and Computer Science, Center for Neuroscience, University of …"
Jonathan Cohen,"Professor of Psychology, Co-Director of Princeton Neuroscience Institute, Princeton …"
Dan  Fisher,bell laboratories harvard stanford princeton
Mark Kozdoba,"Machine Learning Reseacher, Technion - Israel Institute of Technology"
Yangsibo Huang,Princeton University
Sanjeev Arora,"Professor of Computer Science, Princeton University"
Kai Li,"Professor of computer science, Princeton university "
Alnur Ali,Stanford University
Ryan Tibshirani,"Associate Professor of Statistics, and Machine Learning, Carnegie Mellon University"
Dominic Richards,Université du Québec à Montréal (UQAM)
Patrick Rebeschini,University of Oxford
Lorenzo Rosasco,MaLGa Machine Learning Genoa Center - Università degli Studi di Genova
Wengong Jin,"CSAIL, EECS, Massachusetts Institute of Technology"
Tommi Jaakkola,MIT
Vijay Keswani,Yale University
Vincent Cohen-Addad,Google Research (former CNRS & Sorbonne Université)
Karthik C. S.,"Assistant Professor, Princeton University"
Guillaume Lagarde,LaBRI - CNRS
Yiding Feng,"PhD Student of Computer Science, Northwestern University"
Denis Nekipelov,University of Virginia
Andrew Bennett,"Professor of Government, Georgetown University"
Conor Durkan,University of Edinburgh
Iain Murray,"School of Informatics, University of Edinburgh"
George Papamakarios,DeepMind
Jingfeng Wu,"RSMAS, University of Miami"
Kartik Ahuja,"AI Resident, IBM Research, Thomas J. Watson Research Center, NY"
Kush Varshney,IBM Research AI
Jingwei Xu,Xidian University
Harry (Huazhe) Xu,UC Berkleley
Bingbing Ni,Shanghai Jiao Tong University
Xiaokang Yang,"FIEEE, Shanghai Jiao Tong University"
Prof. Darrell,NeuroNexus
Karl Stratos,Rutgers University
Sam Wiseman,TTI-Chicago
Mengdi Wang,"Center for Statistics and Machine Learning, Electrical Engineering, Princeton University; …"
Ronen Basri,"Professor of Computer Science, Weizmann Institute of Science"
Meirav Galun,"Dr of Applied Math and Computer Science, Weizmann Institute"
Amnon Geifman,PhD Student Weizmann Institute of Science
David Jacobs,"Professor of Computer Science, University of Maryland"
Yoni Kasten,"PhD student, Weizmann Institute"
Harsh Satija,McGill University
Philip Amortila,"PhD Student, University of Illinois at Urbana-Champaign"
Joelle Pineau,"School of Computer Science, McGill University"
Christos Matsoukas,University of the Aegean (Department of Environment)
Yue Liu,"Cardiovascular disease centre of Xiyuan hospital, China academy of Chinese medical …"
Gisele Miranda,KTH - Royal Institute of Technology
Peter Lindholm,Karolinska Institutet
Fredrik Strand,Karolinska University Hospital
Kevin Smith,"Associate Professor, KTH Royal Institute of Technology & Science for Life Laboratory"
Kamalika Chaudhuri,"Associate Professor of Computer Science, University of California, San Diego"
Albert Tseng,nan
Yisong Yue,California Institute of Technology
Ashok Cutkosky,Google
Harsh Mehta,nan
Shiyu Li,Uppsala University
Edward Hanson,"Professor of English, Chinese University of Hong Kong"
Hai Li,"Institute of Advanced Materials, Nanjing Tech University"
Yiran Chen,"Professor, Electrical and Computer Engineering, Duke University"
Ashok Makkuva,University of Illinois at Urbana-Champaign
Amir Taghvaei,Associate Professor at Shiraz University of Technology
Sewoong Oh,"Associate Professor, University of Washington"
Jason Lee,"Assistant Professor, UCLA Dept of Molecular and Medical Pharmacology, Crump Institute of …"
Rob Brekelmans,University of Southern California
Frank Wood,"Professor of Medicine and CMIO, Rutgers Robert Wood Johnson Medical School"
Greg Ver Steeg,"Research Associate Professor, University of Southern California, Information Sciences …"
Aram Galstyan,"University of Southern California, Information Sciences Institute"
Tomer Golany,"PhD student, Technion - Israel Institute of Technology"
Kira Radinsky,Technion
Daniel Freedman,MIT and Stanford
Sanghamitra Dutta,sir ganga Ram Hospital
Dennis Wei,"Professor, Urban/Economic Geography, Development/Planning, Sustainability, China, Univ …"
Hazar Yueksel,IBM Thomas J. Watson Research Center
William Zhang,Ph.D. graduated from College of William and Mary
Harish Ramaswamy,"Dept of Political Science, Karnatak University, Dharwad, KA, India"
Shivani Agarwal,University of Pennsylvania
Tanmay Shankar,Facebook AI Research
Abhinav Gupta,"Associate Professor, Robotics Institute, Carnegie Mellon University"
Konstantin Mishchenko,KAUST
Yura Malitsky,"EPFL, Laboratory for Information and Inference Systems"
Seyed  Esmaeili,"Immunologist,mashhad university of medical sciences"
Yu-Xiang Wang,"Assistant Professor of Computer Science, UC Santa Barbara"
Furong Huang,University of Maryland
Haihao Lu,University of Chicago
Santiago Balseiro,"Associate Professor, Columbia University"
Alon Orlitsky,UC San Diego
Xiaochen Wang,University of Oxford
Arash Pakbin,Texas A&M University
Bobak Mortazavi,"Computer Science & Engineering, Texas A&M"
Hongyu Zhao,Yale University
Donald Lee,Donald Danforth Plant Science Center
Alex Chan,Apple Inc.
Siamak Ravanbakhsh,"Assistant Professor, McGill University"
Hrayr Harutyunyan,"PhD student, USC Information Sciences Institute"
Kyle Reing,"Graduate Student, University Of Southern California"
Robin Ru,"Senior Lecturer, Ichthyology and Fisheries Science, Rhodes University"
Ahsan Alvi,University of Oxford
Vikas K Garg,Massachusetts Institute of Technology (MIT)
Aditya Rajagopal,MS CSE at Georgia Institute of Technology
Stylianos Venieris,"Samsung AI Center, Cambridge"
Saadullah Amin,German Research Center for Artificial Intelligence
Stalin Varanasi,Saarland University
Günter Neumann,DFKI
Quan Hoang,Phenikaa University
Trung Le,"Postdoctoral researcher, Tufts University"
Dinh Phung,"Professor, Monash University"
Marjan Albooyeh,University of British Columbia
Daniele Bertolini,Unlearn.AI
Mengjiao Yang,Google Brain
Bo Dai,Big and Open Data Innovation Laboratory (BODaI-Lab)  and Data Methods and Systems …
Hanjun Dai,Google Brain
Haozhi Qi,UC Berkeley
Chong You,Chung Hua University
Xiaolong Wang,UC San Diego
Yi Ma,"Professor of EECS, University of California, Berkeley"
Sahil Singla,Research Instructor at Princeton University and Institute for Advanced Study
Soheil Feizi,"University of Maryland, College Park"
Angelos Katharopoulos,Idiap
Apoorv Vyas,EPFL and Idiap Research institute
Nikolaos Pappas,"Associate Professor, Linköping University (LiU)"
Francois Fleuret,Idiap
Eric Wong,"Professor of Radiology and Psychiatry, University of California, San Diego"
Leslie Rice,Rice University
Yaodong Yu,"University of California, Berkeley"
Jacob Steinhardt,Stanford University
Naman Agarwal,"Research Scientist, Google AI Princeton"
Elad Hazan,Professor at Princeton University and Co-Director Google AI Princeton
Zhou Lu,"Professor of Physics, Southern University of Science and Technology"
Xin Wang,Stony Brook University
Thomas Huang,"University of Illinois, Urbana-Champaign"
Joseph Gonzalez,universidad de Jaén
Fisher Yu,UC Berkeley
Amrita Roy Chowdhury,"National Center for Biotechnology Information (NCBI), NIH"
Theodoros Rekatsinas,"Computer Science, University of Wisconsin-Madison"
Muni Sreenivas Pydi,University of Wisconsin - Madison
Varun Jog,University of Wisconsin-Madison
Eugene Belilovsky,Postdoctoral Fellow at University of Montreal
Michael Eickenberg,UC Berkeley
Yang Li,"Institute of Electronics, Chinese Academy of Sciences"
Junier Oliva,"Assistant Professor, University of North Carolina"
Angelos Filos,University of Oxford
Panagiotis Tigas,DPhil student at Oxford University
Rowan McAllister,"University of California, Berkeley"
Nicholas Rhinehart,"Postdoc, UC Berkeley"
Yarin Gal,"Associate Professor, University of Oxford"
Karl Cobbe,"Research Scientist, OpenAI"
Chris Hesse,UCSF
Jacob Hilton,"Postdoctoral Fellow, National Institutes of Health"
John Schulman,"Research Scientist, OpenAI"
Hussein Hazimeh,Massachusetts Institute of Technology
Natalia Ponomareva,Macquarie University
Rahul Mazumder,Massachusetts Institute of Technology
Zhenyu Tan,Georgia Institute of Technology
Petros Mol,"PhD, Computer Science, UC, San Diego "
Allan Grønlund,University of Aarhus
Lior Kamma,Aarhus University
Kasper Green Larsen,"Associate Professor, Computer Science, Aarhus University"
Suraj Nair,Stanford University
Chelsea Finn,"Stanford University, Google"
Wei Chen,nan
Yihan Du,Estudiante de la materia TIC
Longbo Huang,"Associate Professor, IIIS @ Tsinghua University, China"
Haoyu Zhao,University of Science and Technology of China
Venkatadheeraj Pichapati,UCSD
Khimya Khetarpal,"Ph.D. Student, McGill University, Mila Montreal"
Zafarali Ahmed,DeepMind
Gheorghe Comanici,"Research Scientist, DeepMind"
David Abel,"Ph.D Candidate, Brown University"
Doina Precup,DeepMind and McGill University
Joao Monteiro,Universidade de São Paulo
Isabela Albuquerque,Institut National de la Recherche Scientifique
Jahangir Alam,"Researcher, CRIM"
R Devon Hjelm,"Microsoft Research, University of Montreal, Mila"
Tiago Falk,"Associate Prof., INRS-EMT, University of Quebec"
Jinsung Yoon,Research Scientist at Google Cloud AI
Sercan Arik,"Research Scientist, Google"
Tomas Pfister,"Head, Google Cloud AI Research"
Aman Sinha,Stanford University
Matthew O'Kelly,"PhD Candidate, University of Pennsylvania"
Hongrui Zheng,"Institute of Geology, Chinese Academy of Geological Sciences"
Rahul Mangharam,"Associate Professor of Electrical Engineering and Computer Science, University of …"
John Duchi,"Assistant Professor of Statistics and Electrical Engineering, Stanford University"
Russ Tedrake,"MIT (EECS, MechE, Aero/Astro) and Toyota Research Institute"
Jiri Fajtl,Kingston University London
Vasileios Argyriou,Kingston University
Dorothy Monekosso,Professor
Paolo Remagnino,Professor at Kingston University
Xinshi Chen,Georgia Institution of Technology
Yu Li,"Choh-Ming Li Professor of Chemistry, The Chinese University of Hong Kong"
Xin Gao,fudan university
Le Song,Georgia Institute of Technology
Futoshi Futami,NTT
Brian Williamson,University of Central Florida
Jean Feng,Medical Director - The Lu-Jean Feng Clinic
Aounon Kumar,"University of Maryland, College Park"
Alexander Levine,"Professor of Chemistry and Physics, UCLA"
Guanyi Wang,"School of Nuclear Engineering, Purdue Univerisity"
Santanu  Dey,HUMAN RIGHTS ACTIVIST
Michal Moshkovitz,University of California San Diego
Sanjoy Dasgupta,"Professor of Computer Science, University of California, San Diego"
Cyrus Rashtchian,"University of California, San Diego"
Nave Frost,Tel Aviv University
Martin Jankowiak,Uber AI Labs
Geoff Pleiss,Cornell University
Jacob Gardner,University of Pennsylvania
Kimon Fountoulakis,"David R. Cheriton School of Computer Science, University of Waterloo"
Shenghao Yang,"The Chinese University of Hong Kong, Shenzhen"
Ankit Singh Rawat,"Research Scientist, Google"
Cuong Nguyen,"Institute for Global Health Innovations, Duy Tan University"
Tal Hassner,The Open University of Israel
Cedric Archambeau,"Amazon Web Services, Berlin"
Adam Breuer,Harvard
Eric Balkanski,Balkanski Professor of Physics and Applied Physics
Jianing Li,"Assistant Professor of Chemistry, University of Vermont"
Jiafeng Guo,"Professor, Institute of Computing Techonology, CAS"
Xueqi Cheng,"Institute of Computing Technology, Chinese Academy of Sciences"
Junzhe Zhang,"University of California, Los Angeles"
Michael Chang,Philadelphia Cpl Michael J Crescenz VAMC & University of PA Perelman School of …
S. Matthew Weinberg,"Assistant Professor, Princeton University"
Thomas Griffiths,"Professor of Psychology and Computer Science, Princeton University"
Kelvin Guu,"Research Scientist, Google"
Kenton Lee,Google
Panupong Pasupat,"Graduate Student, Stanford University"
Mingwei Chang,Google Research
Ning Xu,Karolinska Institutet
Jun Shu,Shanghai University
Xin Geng,"School of Computer Science and Engineering, Southeast University"
Thodoris Lykouris,Microsoft Research
Renato Leme,Google Research
Reza Oftadeh,Texas A&M University
Jiayi Shen,"Associate Professor, Zhejiang University"
Dylan Shell,"Department of Computer Science & Engineering, Texas A&M University"
Praneeth Netrapalli,Microsoft Research
Daniel Jiang,"Professor of Otology and Auditory Implantation Surgery, King's College London"
Steve Li,"Professor of Finance, RMIT University"
Benjamin M Marlin,"College of Information and Computer Sciences, UMass Amherst"
Scott M Jordan,"PhD Candidate, University of Massachusetts Amherst"
Yash Chandak,"PhD Student, University of Massachusetts, Amherst"
Daniel Cohen,"Professor of Computer Science, Tel Aviv University"
Mengxue Zhang,University of Wisconsin-Madison
Yu-Ting Chou,MIT
Hsuan-Tien Lin,"Professor of Computer Science and Information Engineering, National Taiwan University"
Yu Bai,"Professor of Analytical Chemistry, Peking University"
Martin Mladenov,Google Research
Elliot Creager,University of Toronto
Richard Zemel,"Professor of Computer Science, University of Toronto"
Weili Nie,Rice University
Tero Karras,NVIDIA
Animesh Garg,"University of Toronto, Vector Institute, Nvidia"
Shoubhik Debnath,R&D Engineer in Robotics and AI at NVIDIA
Anjul Patney,Facebook Reality Labs
Ankit Patel,Student
Anima Anandkumar,California Institute of Technology and NVIDIA
Kevin Hsieh,Carnegie Mellon University
Amar Phanishayee,Microsoft Research
Onur Mutlu,ETH Zürich and Carnegie Mellon University
Phil Gibbons,Carnegie Mellon University
Wenqing Hu,"Missouri University of Science and Technology (formerly University of Missouri, Rolla)"
Haoyi Xiong,"Principal Architect & Research Scientist, Baidu"
Jun Huan,University of Malaya
Alper Atamturk,"Professor, UC Berkeley"
Andres Gomez,Instituto de Ciencia de Materiales de Madrid (ICMM-CSIC) (ORCID:0000-0002-3384-3405)
Nilesh Tripuraneni,UC Berkeley
Lester Mackey,Microsoft Research
Kaiyi Ji,The Ohio State University
Zhe Wang,Bronx Community College
Wei  Zhang,The Comprehensive Cancer Center of Wake Forest Baptist Medical Center
Yingbin LIANG,The Ohio State University
Junfeng Wen,University of Alberta
Yuting Wei,Carnegie Mellon University
Yufeng Zhang,Peking University
Aravind Rajeswaran,University of Washington
Igor Mordatch,UC Berkeley
Vikash Kumar,student of electronics and communication
Xiaoyu Chen,Zhejiang University
Georgios Theocharous,Adobe Research
Shiv Shankar,"Baker Hughes, A GE Company"
Sridhar Mahadevan,"Director, Data Science Lab, Adobe Research & Professor, University of Massachusetts …"
Nghia Hoang,"Research Staff Member, MIT-IBM Watson AI Lab, IBM Research"
Thanh Lam,The University of Florida in Gainesville
Bryan Kian Hsiang Low,"Associate Professor (with tenure), Department of Computer Science, National University of …"
Patrick Jaillet ,"Dugald C. Jackson Professor, EECS, MIT"
Yonggang Zhang,The University of Texas Southwestern Medical Center
Ya Li,"Professor of Institute of Electro-Optical Science and Technology,  National Taiwan Normal"
Xinmei Tian,University of Science and Technology of China
Lan-Zhe Guo,Nanjing University
Yufeng Li,Xi'an Jiaotong Univeristy
Marc Finzi,"PhD Student, CS at NYU"
Samuel Stanton,US Army Research Office
Pavel Izmailov,"PhD Student, NYU"
Andrew Wilson,Microsoft Research
Hao Zhou,"PBC School of Finance, Tsinghua University"
Ning Miao,ByteDance AI Lab
Lei Li,"Duke University, CERN"
Huang Hengguan,NUS CS Phd Candidate
Fuzhao Xue,"Associate Professor, Fuzhou University"
Ye Wang,Shaanxi Normal university
Przemysław Spurek,Jagiellonian University
Jacek Tabor,"Profesor informatyki, Uniwersytet Jagielloński"
Maciej Zamorski,Wrocław University of Science and Technology
Maciej Zieba,"Wroclaw University of Technology, Tooploox"
Tomasz Trzcinski,"Warsaw University of Technology, Tooploox, Jagiellonian University"
Zhimei Li,National Cancer Center of Singapore
Baharan Mirzasoleiman,Stanford University
Jeff Bilmes,"Professor of Electrical Engineering and Computer Science, University of Washington Seattle"
Hansi Yang,Tsinghua University
James Kwok,"Professor of Computer Science and Engineering, Hong Kong University of Science and …"
Greg Yang,Microsoft Research
Tony Duan,Stanford University
J. Edward Hu,Johns Hopkins University
Hadi Salman,Microsoft Research
Jerry Li,Loma Linda University
Thomas Quinn,"NIAID, NIH, and JHU"
Dang Nguyen,"Research Associate, University of Louisville"
Santu Rana,"Associate Professor of Computer Science, Deakin University"
Sunil Gupta,Principal; Bal Krishna Institute of Technology Kota
Raef Bassily,"Assistant Professor, Computer Science & Engineering, The Ohio State University"
Shay Moran,Visiting Scientist @ Google Brain
Jonathan Ullman,"Assistant Professor of Computer Science, Northeastern University"
Tung-Che Liang,Duke University
Zhanwei Zhong,Marvell Semiconductor Inc.
Tsung-Yi Ho,National Tsing Hua University
Richard Fair,"Professor of Electrical Engineering, Duke University"
Krishnendu Chakrabarty,"John Cocke Distinguished Professor and Chair, Electrical and Computer Engineering, Duke"
Jianshu Zhang,The Open University of Jiangsu (formerly Jiangsu Radio and Television University
Jun Du,Commission Scolaire de Montreal
Yongxin Yang,University of Edinburgh
Yi-Zhe Song,"SketchX Lab, CVSSP, University of Surrey"
Si Wei,"Associate Professor,National Center for Cancer Registries,Beijing,China"
Aleksei Petrenko,"Computer Science PhD Student, University of Southern California"
